Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,a26,inc,Vm,AB,BMag,SBB,logKLum,logM26,l_logMHI,logMHI,VLG,Theta1,MD,Theta5,Thetaj,tahts actually cxrax,mass in kg,volume
AGC102728,0,0,21.4,+,31,1,19,0.73,64,3,0,-10.4,25.2,6.43,5.82,7.05,7.05,836,-1.8,NGC7331,-1.4,,1.12639E+19,1.31419E+36,5.98625E+57
UGC12894,0,0,22.5,+,39,29,44,2.97,33,21,0,-13.5,25.2,7.63,8.2,7.98,7.98,619,,,,,4.58271E+19,3.15251E+38,4.0314E+59
PGC000083,0,1,6.5,+,32,22,41,1.98,90,10,0,-12.3,25.5,7.18,7.38,7.46,7.46,815,-2.1,NGC0891,-1.5,-0.96,3.05514E+19,4.77152E+37,1.19449E+59
WLM,0,1,58.1,-,15,27,40,3.25,90,22,0,-14.1,24.8,7.7,8.27,7.84,7.84,-16,0,MESSIER031,0.2,1.75,5.01475E+19,3.70388E+38,5.28246E+59
And XVIII,0,2,14.5,+,45,5,20,0.69,17,9,0,-8.7,26.8,6.44,6.78,< 6.65,6.65,-44,0.5,MESSIER031,0.6,1.54,1.06467E+19,1.19855E+37,5.05515E+57
ESO409-015,0,5,31.8,-,28,5,53,3,78,23,0,-14.6,24.1,8.1,8.25,8.1,8.1,769,-1.9,IC5332,-1.4,-2.05,4.629E+19,3.53718E+38,4.1548E+59
AGC748778,0,6,34.4,+,15,30,39,0.61,70,3,0,-10.4,24.9,6.39,5.7,6.64,6.64,486,-1.9,NGC0253,-1.4,-2.72,9.4123E+18,9.96912E+35,3.49282E+57
And XX,0,7,30.7,+,35,7,56,0.2,33,5,0,-5.8,27.1,5.26,5.7,,,-182,2.4,MESSIER031,2.4,1.75,3.086E+18,9.96912E+35,1.23105E+56
UGC00064,0,7,44,+,40,52,32,4.14,66,28,0,-14.4,25,8.01,8.58,8.44,8.44,587,,,,,6.38802E+19,7.56235E+38,1.09191E+60
ESO349-031,0,8,13.3,-,34,34,42,1.15,39,14,0,-11.9,24.8,7.12,7.41,7.13,7.13,230,0.2,NGC0253,0.3,1.75,1.77445E+19,5.11277E+37,2.34035E+58
NGC0024,0,9,56.4,-,24,57,48,14.76,85,95,0.64,-17.7,24.5,9.48,10.19,8.64,8.64,606,0.3,dw0009-25,0.6,0.08,2.27747E+20,3.08075E+40,4.94818E+61
NGC0045,0,14,3.9,-,23,10,56,16.51,47,103,0.17,-17.8,24.6,9.33,10.31,9.18,9.18,528,-1,NGC0024,-0.9,0.23,2.54749E+20,4.06122E+40,6.92512E+61
PiscesA,0,14,46,+,10,48,47,0.99,60,3,0,-10.7,25.6,6.53,5.99,6.96,6.96,444,-1.6,NGC0253,-1.3,-2.86,1.52757E+19,1.94382E+36,1.49311E+58
NGC0055,0,14,53.6,-,39,11,48,23.3,84,74,0.55,-18.8,24.4,9.49,10.18,9.44,9.44,111,0.1,NGC0300,0.2,0.24,3.59519E+20,3.01062E+40,1.9465E+62
NGC0059,0,15,25.1,-,21,26,38,3.26,90,21,0,-15.6,23.3,8.66,8.21,7.34,7.34,431,-0.4,NGC0253,-0.3,-1.44,5.03018E+19,3.22594E+38,5.33137E+59
ESO410-005,0,15,31.4,-,32,10,48,0.91,45,4,0,-11.6,24.5,6.89,6.13,5.91,5.91,53,0.1,NGC0055,0.3,0.5,1.40413E+19,2.68322E+36,1.15961E+58
LV J0015-3825,0,15,38.3,-,38,25,41,0.76,59,29,0,-11.1,24.6,6.68,7.88,7.23,7.23,592,-1.7,NGC7713,-1.2,,1.17268E+19,1.50889E+38,6.75503E+57
