pl_name,pl_radius (Earth radius),pl_mass (Earth mass)
GQ Lup b,51.561,9852.73000
HAT-P-35 b,39.792,2390.08160
GQ Lup b,33.600,6356.00000
PDS 70 b,30.488,953.49000
DH Tau b,30.264,3496.13000
CT Cha b,24.660,5403.00000
TOI-3540 A b,23.539,375.03752
WASP-79 b,23.430,286.03000
HAT-P-67 b,23.371,108.06220
XO-6 b,23.203,1398.45200
WASP-78 b,23.091,273.33380
HAT-P-41 b,22.978,378.21770
PDS 70 c,22.866,635.66000
HIP 65 A b,22.754,1021.18779
HIP 75056 A b,22.418,7945.71018
WASP-17 b,22.317,162.72896
WASP-17 b,22.317,154.46538
Kepler-435 b,22.310,266.97000
Kepler-435 b,22.306,270.15550
WASP-17 b,22.261,143.97699
HAT-P-32 b,22.194,216.12440
XO-3 b,21.858,4211.22639
WASP-178 b,21.745,448.14030
WASP-12 b,21.712,465.62095
WASP-17 b,21.656,151.60491
WASP-78 b,21.633,352.79130
WASP-1 b,21.633,282.86870
KELT-19 A b,21.409,1293.56810
WASP-12 b,21.297,467.21010
KELT-9 b,21.196,915.35040
WASP-17 b,21.185,162.09330
HAT-P-65 b,21.185,167.49641
TOI-1518 b,21.017,731.00534
WASP-17 b,20.961,247.90740
HAT-P-70 b,20.961,2154.88740
WASP-121 b,20.905,375.99289
KOI-13 b,20.850,2637.88000
WASP-12 b,20.849,638.83830
KELT-8 b,20.849,272.69814
KELT-8 b,20.849,275.55861
HATS-23 b,20.849,467.21010
CFHTWIR-Oph 98 b,20.849,2479.06157
HAT-P-33 b,20.737,292.40360
TrES-4 b,20.602,158.27934
TrES-4 b,20.602,157.00802
WASP-76 b,20.512,292.40360
KELT-20 b,20.512,5403.11000
WASP-12 b,20.456,454.49690
WASP-12 b,20.456,441.78370
WASP-79 b,20.400,267.93069
WASP-12 b,20.400,416.35730
WASP-12 b,20.389,448.14030
WASP-178 b,20.288,527.59780
TrES-4 b,20.288,278.73691
GSC 06214-00210 b,20.176,4767.45000
TrES-4 b,20.165,292.07300
HAT-P-32 b,20.131,273.33380
WASP-12 b,20.100,448.00000
HAT-P-32 b,20.053,273.32200
HAT-P-32 b,20.053,238.37250
TrES-4 b,19.986,293.99128
KELT-9 b,19.986,775.50520
KELT-12 b,19.952,301.93850
TOI-640 b,19.851,279.69040
TOI-2193 A b,19.840,298.75870
TOI-2669 b,19.728,193.87533
Kepler-12 b,19.661,137.30256
WASP-121 b,19.649,367.72747
TrES-4 b,19.627,292.40360
HATS-26 b,19.616,206.58950
HAT-P-32 b,19.616,263.79890
WASP-17 b,19.582,154.46538
KELT-14 b,19.537,408.09372
KELT-20 b,19.515,1074.90106
KELT-15 b,19.504,416.35730
HAT-P-57 b,19.504,448.14030
WASP-17 b,19.500,156.00000
TrES-4 b,19.448,285.09351
OGLE-TR-56 b,19.436,448.14030
WASP-12 b,19.392,444.96200
HAT-P-40 b,19.392,195.45700
HAT-P-40 b,19.392,184.65923
WASP-94 A b,19.280,143.65300
WASP-94 A b,19.279,144.93048
OGLE-TR-10 b,19.279,216.12440
CoRoT-1 b,19.223,390.93090
WASP-82 b,19.170,397.27000
TrES-4 b,19.123,291.45011
Kepler-12 b,19.123,136.66690
HAT-P-64 b,19.089,184.34048
WASP-88 b,19.055,177.98000
WASP-88 b,19.055,181.16310
WASP-78 b,19.055,282.85700
Qatar-7 b,19.055,597.52040
KELT-4 A b,19.044,286.68266
Kepler-12 b,18.999,137.62039
Kepler-12 b,18.999,136.97900
WASP-100 b,18.943,645.19490
WASP-100 b,18.943,638.83830
WASP-100 b,18.940,645.17000
HATS-56 b,18.921,191.33366
HAT-P-33 b,18.898,209.76780
HAT-P-33 b,18.898,242.17600
HATS-67 b,18.887,460.85350
HAT-P-41 b,18.887,254.26400
