name,ra,dec,core_radius (degrees),central_radius (degrees),cluster_radius (degrees),num_core_stars,num_central_stars,num_cluster_stars,distance (PC)
MWSC 4688,23 51 54,-86 43.2,0.020,0.100,0.185,2,22,57,1336
MWSC 5684,12 53 43,-86 38.9,0.020,0.080,0.155,3,19,52,1432
MWSC 5692,17 47 20,-86 36.6,0.025,0.095,0.135,4,18,28,1555
MWSC 4005,00 11 28,-85 28.8,0.012,0.100,0.165,3,26,42,1159
MWSC 4176,14 27 18,-85 25.2,0.025,0.150,0.280,4,53,155,1093
ESO 008-06,14 56 55,-83 26.7,0.025,0.130,0.185,5,46,78,1380
MWSC 4219,15 42 14,-83 11.7,0.015,0.115,0.200,2,36,95,1606
MWSC 5575,01 59 42,-83 03.0,0.015,0.090,0.150,1,10,20,2191
MWSC 4682,23 43 23,-82 57.6,0.020,0.115,0.190,2,22,58,1065
IC 4499,15 00 18,-82 12.8,0.030,0.085,0.140,8,27,50,18804
MWSC 5685,13 05 24,-82 02.6,0.020,0.090,0.160,3,25,64,1581
MWSC 5681,10 41 47,-82 00.3,0.018,0.075,0.115,4,20,41,1700
FSR 1626,12 20 06,-81 30.6,0.020,0.115,0.200,2,32,109,2671
FSR 1631,12 45 43,-81 15.5,0.025,0.110,0.180,5,51,100,1456
FSR 1629,12 34 55,-80 57.0,0.020,0.095,0.170,5,32,78,3597
MWSC 5688,15 25 59,-80 07.8,0.015,0.070,0.105,2,12,25,1236
ESO 026-02,20 26 38,-80 00.0,0.015,0.090,0.160,1,17,44,2473
MWSC 4137,09 26 11,-79 44.4,0.015,0.105,0.180,3,32,83,1209
Mamajek 1,08 41 53,-79 02.7,0.030,0.190,0.420,1,5,19,112
Melotte 227,20 16 48,-79 02.4,0.040,0.180,0.330,5,41,137,2218
MWSC 5679,09 33 00,-78 58.2,0.012,0.085,0.155,1,26,51,1122
MWSC 5572,01 54 18,-78 57.9,0.020,0.070,0.140,2,7,14,1472
MWSC 5749,20 32 10,-78 36.9,0.012,0.090,0.150,3,29,47,1890
ESO 021-06,14 15 52,-78 30.9,0.025,0.090,0.165,3,32,89,2473
MWSC 5672,07 15 20,-78 26.4,0.013,0.075,0.135,1,13,33,1288
Feigelson 1,12 01 12,-78 20.1,0.070,0.600,0.950,1,14,26,117
MWSC 4114,06 07 52,-78 13.2,0.030,0.130,0.240,3,24,60,962
MWSC 5680,09 43 48,-78 12.3,0.020,0.080,0.150,3,22,59,1050
FSR 1607,11 33 00,-77 49.5,0.010,0.085,0.150,2,31,69,1561
MWSC 5698,18 41 49,-77 43.4,0.017,0.080,0.150,2,17,49,2069
FSR 1675,16 10 29,-77 39.6,0.020,0.085,0.135,4,30,53,5666
MWSC 4140,09 36 36,-77 28.8,0.020,0.135,0.225,3,45,112,2465
FSR 1640,13 11 55,-77 27.0,0.020,0.090,0.155,2,36,78,6213
FSR 1579,09 13 41,-77 25.5,0.020,0.085,0.150,5,32,65,1000
Chamaleon I,11 03 36,-77 20.4,0.030,0.220,0.360,2,29,75,380
E 3,09 20 57,-77 16.9,0.010,0.060,0.100,1,13,25,8104
MWSC 4668,22 56 56,-77 10.2,0.030,0.125,0.180,2,15,22,775
FSR 1639,13 09 16,-77 08.1,0.025,0.110,0.195,3,28,80,7943
NGC 1520,03 57 52,-76 48.0,0.020,0.090,0.130,1,8,10,1023
FSR 1577,09 28 46,-76 05.1,0.018,0.085,0.150,5,32,81,1561
FSR 1598,11 23 06,-75 00.9,0.018,0.060,0.110,7,21,58,3575
MWSC 5676,08 41 55,-74 45.9,0.018,0.085,0.145,4,26,58,1604
ESO 043-13,17 04 44,-74 21.0,0.020,0.090,0.140,2,31,73,1490
FSR 1647,13 45 41,-73 57.6,0.030,0.095,0.170,6,34,96,2436
FSR 1642,13 22 48,-73 34.5,0.015,0.080,0.130,1,30,78,3211
MWSC 4138,09 27 07,-73 30.0,0.025,0.120,0.185,7,51,103,1908
MWSC 5671,07 05 06,-73 22.8,0.020,0.105,0.210,2,28,64,2001
FSR 1692,16 45 14,-72 49.9,0.010,0.070,0.115,2,24,65,1781
FSR 1566,09 50 35,-72 45.7,0.015,0.085,0.140,2,29,72,1537
NGC 4372,12 25 45,-72 39.5,0.035,0.200,0.330,2,166,406,5807
NGC 6101,16 25 48,-72 12.1,0.025,0.075,0.125,1,16,45,15405
FSR 1667,14 21 41,-72 05.1,0.015,0.095,0.155,3,57,140,5175
NGC 104,00 24 01,-72 04.9,0.200,0.530,0.950,70,394,598,4501
FSR 1638,13 01 07,-71 23.7,0.018,0.060,0.120,3,23,53,7702
ESO 065-07,13 29 10,-71 15.9,0.012,0.065,0.110,3,33,67,3477
NGC 4833,12 59 34,-70 52.6,0.040,0.140,0.205,2,60,123,6595
NGC 362,01 03 18,-70 50.8,0.055,0.145,0.235,4,35,55,8603
FSR 1658,13 55 03,-70 45.0,0.018,0.075,0.147,7,46,136,4239
MWSC 5691,17 26 10,-70 44.1,0.015,0.055,0.100,3,13,39,2241
NGC 1557,04 13 08,-70 27.9,0.030,0.120,0.220,1,9,20,1820
NGC 5359,14 00 00,-70 24.0,0.018,0.090,0.170,2,18,59,2221
