PType,Name,Radius(m),Mass(Kg),Volume(m^3),Density(Kg/m^3),Log Density,Log Radius,Log D/Log R,Mean,Median,Std. Dev.
NS,4u 1820 30,11000,3.38E+33,5575279762571,6.06068E+20,20.78252153,4.041392685,5.142415782,-0.7149746406,-1.108441583,0.6975349309
NS,SAX J1748.9-2021,11000,3.16E+33,,,,,5.135078906,,,
NS,EXO1745-248,10000,2.70E+33,,,,,5.20211754,,,
NS,KS1731-260,11000,4.21E+33,,,,,5.166019214,,,
NS,4U 1724-207,12000,3.38E+33,,,,,5.067049385,,,
NS,4U 1608-52,10000,3.19E+33,,,,,5.220289291,,,
P,GQ Lup b,328861214.1,5.88563E+28,,,,,0.3048799207,,,
P,HAT-P-35 b,253797355.2,1.42774E+28,,,,,0.2759358133,,,
P,GQ Lup b,214304160,3.79682E+28,,,,,0.355807073,,,
P,PDS 70 b,194455512.8,5.69577E+27,,,,,0.2735012729,,,
P,DH Tau b,193026818.4,2.08845E+28,,,,,0.3428690852,,,
P,CT Cha b,157283946,3.22754E+28,,,,,0.4022027869,,,
P,TOI-3540 A b,150134095.9,2.24032E+27,,,,,0.2689157715,,,
P,WASP-79 b,149438883,1.70863E+27,,,,,0.2553278571,,,
P,HAT-P-67 b,149062575.1,6.4552E+26,,,,,0.2040426112,,,
P,XO-6 b,147991054.3,8.35379E+27,,,,,0.3413718874,,,
P,WASP-78 b,147276707.1,1.63279E+27,,,,,0.2554363892,,,
P,HAT-P-41 b,146555981.8,2.25932E+27,,,,,0.2735583835,,,
P,PDS 70 c,145841634.6,3.79718E+27,,,,,0.3020288616,,,
P,HIP 65 A b,145127287.4,6.10017E+27,,,,,0.3281166676,,,
P,HIP 75056 A b,142984245.8,4.74645E+28,,,,,0.4400108983,,,
P,WASP-17 b,142340057.7,9.72078E+26,,,,,0.2337243352,,,
P,WASP-17 b,142340057.7,9.22714E+26,,,,,0.2309483284,,,
P,Kepler-435 b,142295411,1.59477E+27,,,,,0.260148123,,,
P,Kepler-435 b,142269898.6,1.6138E+27,,,,,0.2608110879,,,
P,WASP-17 b,141982884.1,8.60061E+26,,,,,0.2276348034,,,
P,HAT-P-32 b,141555551.4,1.29104E+27,,,,,0.2497962055,,,
P,XO-3 b,139412509.8,2.51562E+28,,,,,0.4107965281,,,
P,WASP-178 b,138691784.5,2.67701E+27,,,,,0.2922371032,,,
P,WASP-12 b,138481307.2,2.78143E+27,,,,,0.294545064,,,
P,WASP-17 b,138124133.6,9.05627E+26,,,,,0.2351337483,,,
P,WASP-78 b,137977437.3,2.10743E+27,,,,,0.2803802192,,,
P,WASP-1 b,137977437.3,1.68974E+27,,,,,0.268594564,,,
P,KELT-19 A b,136548742.9,7.72726E+27,,,,,0.3515639287,,,
P,WASP-12 b,135834395.7,2.79093E+27,,,,,0.2981221663,,,
P,KELT-9 b,135190207.6,5.46794E+27,,,,,0.3348810158,,,
P,WASP-17 b,135120048.5,9.68281E+26,,,,,0.2425066004,,,
P,HAT-P-65 b,135120048.5,1.00056E+27,,,,,0.2442580369,,,
P,TOI-1518 b,134048527.7,4.36673E+27,,,,,0.3243751608,,,
P,WASP-17 b,133691354.1,1.4809E+27,,,,,0.2670562959,,,
P,HAT-P-70 b,133691354.1,1.28724E+28,,,,,0.3826264596,,,
P,WASP-121 b,133334180.5,2.24603E+27,,,,,0.289787031,,,
P,KOI-13 b,132983385,1.57576E+28,,,,,0.3943981198,,,
P,WASP-12 b,132977006.9,3.81616E+27,,,,,0.3185967508,,,
P,KELT-8 b,132977006.9,1.62899E+27,,,,,0.2730872803,,,
P,KELT-8 b,132977006.9,1.64608E+27,,,,,0.2736451254,,,
P,HATS-23 b,132977006.9,2.79093E+27,,,,,0.3018706971,,,
P,CFHTWIR-Oph 98 b,132977006.9,1.48089E+28,,,,,0.3910872192,,,
P,HAT-P-33 b,132262659.7,1.7467E+27,,,,,0.2777609946,,,
P,TrES-4 b,131401616.2,9.45497E+26,,,,,0.2460731487,,,
P,TrES-4 b,131401616.2,9.37903E+26,,,,,0.245641745,,,
P,WASP-76 b,130827587.2,1.7467E+27,,,,,0.2796743055,,,
P,KELT-20 b,130827587.2,3.2276E+28,,,,,0.4357304857,,,
P,WASP-12 b,130470413.6,2.71498E+27,,,,,0.3037568455,,,
P,WASP-12 b,130470413.6,2.63904E+27,,,,,0.3022386127,,,
P,WASP-79 b,130113240,1.60051E+27,,,,,0.2759572096,,,
P,WASP-12 b,130113240,2.48715E+27,,,,,0.2995505219,,,
P,WASP-12 b,130043080.9,2.67701E+27,,,,,0.3035831023,,,
P,WASP-178 b,129398892.8,3.15166E+27,,,,,0.3132002678,,,
P,TrES-4 b,129398892.8,1.66506E+27,,,,,0.279039658,,,
P,GSC 06214-00210 b,128684545.6,2.84788E+28,,,,,0.4320664766,,,
P,TrES-4 b,128614386.5,1.74473E+27,,,,,0.2826104895,,,
P,HAT-P-32 b,128397531.1,1.63279E+27,,,,,0.2793556166,,,
P,WASP-12 b,128199810,2.67617E+27,,,,,0.3060924852,,,
P,HAT-P-32 b,127900039.3,1.63272E+27,,,,,0.2800353152,,,
P,HAT-P-32 b,127900039.3,1.42394E+27,,,,,0.2727059225,,,
P,TrES-4 b,127472706.6,1.75619E+27,,,,,0.2845295063,,,
P,KELT-9 b,127472706.6,4.63256E+27,,,,,0.3365009539,,,
P,KELT-12 b,127255851.2,1.80366E+27,,,,,0.2862584806,,,
P,TOI-640 b,126611663.1,1.67076E+27,,,,,0.2830498475,,,
P,TOI-2193 A b,126541504,1.78466E+27,,,,,0.286682587,,,
P,TOI-2669 b,125827156.8,1.15813E+27,,,,,0.2644946424,,,
P,Kepler-12 b,125399824.1,8.20191E+26,,,,,0.2465870787,,,
P,WASP-121 b,125323286.9,2.19666E+27,,,,,0.2995268899,,,
P,TrES-4 b,125182968.7,1.7467E+27,,,,,0.2874321086,,,
P,HATS-26 b,125112809.6,1.23408E+27,,,,,0.2688982704,,,
P,HAT-P-32 b,125112809.6,1.57583E+27,,,,,0.2820093954,,,
P,WASP-17 b,124895954.2,9.22714E+26,,,,,0.2536060407,,,
P,KELT-14 b,124608939.7,2.43779E+27,,,,,0.3061262155,,,
P,KELT-20 b,124468621.5,6.42103E+27,,,,,0.3582847347,,,
P,KELT-15 b,124398462.4,2.48715E+27,,,,,0.3075016133,,,
P,HAT-P-57 b,124398462.4,2.67701E+27,,,,,0.3114483146,,,
P,WASP-17 b,124372950,9.31882E+26,,,,,0.2548689526,,,
P,TrES-4 b,124041288.8,1.70303E+27,,,,,0.2876897492,,,
P,OGLE-TR-56 b,123964751.6,2.67701E+27,,,,,0.3120689266,,,
P,WASP-12 b,123684115.2,2.65803E+27,,,,,0.3120898047,,,
P,HAT-P-40 b,123684115.2,1.16758E+27,,,,,0.2679402946,,,
P,HAT-P-40 b,123684115.2,1.10308E+27,,,,,0.2648904614,,,
P,WASP-94 A b,122969768,8.58126E+26,,,,,0.2524249776,,,
