WDJname,GaiaEDR3,Pwd,amax,MassH,e_MassH,MassHe,e_MassHe,Massmix,e_Massmix,rgeo,Radius (pc),Radius (m),Mass (kg)
WDJ004835.87-734109.68,4.69E+18,0.863944,0.276362,0.109681,2.31E-02,0.106551,0.002251,0.105134,0.004597,1182.313,0.3267465,1.01E+16,2.07E+29
WDJ004124.48-732528.71,4.69E+18,0.872387,0.247441,0.112186,4.22E-02,0.10362,0.011469,0.103889,0.01124,1078.412,0.2668432,8.23E+15,2.12E+29
WDJ002526.88-741046.71,4.69E+18,0.863668,0.367846,0.113002,8.65E-02,0.12888,0.019197,0.128047,0.013904,1821.975,0.6702062,2.07E+16,2.14E+29
WDJ003148.55-730848.03,4.69E+18,0.916103,0.418741,0.114472,1.03E-01,0.119694,0.037345,0.120195,0.035208,1304.987,0.5464514,1.69E+16,2.16E+29
WDJ004439.46-722447.33,4.69E+18,0.838725,0.321785,0.114779,6.51E-02,0.114485,0.039353,0.112464,0.035051,1590.037,0.5116499,1.58E+16,2.17E+29
WDJ004937.13-730523.26,4.69E+18,0.857484,0.325681,0.114865,8.95E-03,0.112528,0.012462,0.110986,0.016493,1424.899,0.4640626,1.43E+16,2.17E+29
WDJ004918.59-731559.01,4.69E+18,0.860866,0.33682,0.116936,2.39E-02,0.108001,0.026514,0.107558,0.029974,1147.577,0.386527,1.19E+16,2.21E+29
WDJ004801.29-731231.28,4.69E+18,0.832379,0.342881,0.121154,7.83E-02,0.114509,0.001613,0.115155,0.005143,1093.406,0.374908,1.16E+16,2.29E+29
WDJ004939.72-732541.95,4.69E+18,0.798007,0.430842,0.12142,2.21E-02,0.132413,0.027387,0.123918,0.04101,705.081,0.3037785,9.37E+15,2.30E+29
WDJ004016.09-734150.06,4.69E+18,0.810529,0.305224,0.122826,1.22E-01,0.107472,0.068709,0.107663,0.069161,1437.415,0.4387334,1.35E+16,2.32E+29
WDJ004351.75-731449.04,4.69E+18,0.921682,0.481402,0.123086,2.85E-02,0.133608,0.012228,0.1229,0.057392,908.5977,0.4374007,1.35E+16,2.33E+29
WDJ004419.31-731018.43,4.69E+18,0.969175,0.412957,0.12366,2.55E-04,0.138099,0.03667,0.127656,0.010375,757.8341,0.3129529,9.66E+15,2.34E+29
WDJ004413.95-730849.33,4.69E+18,0.883854,0.366286,0.123799,6.62E-02,0.122698,0.021031,0.122488,0.017328,1063.151,0.3894175,1.20E+16,2.34E+29
WDJ004220.90+401103.83,3.69E+17,0.838743,0.487815,0.124686,7.48E-02,0.145301,0.000136,0.129604,0.078018,952.3372,0.4645644,1.43E+16,2.36E+29
WDJ004953.51-731446.61,4.69E+18,0.943817,0.259135,0.126308,4.74E-02,0.111607,0.017341,0.112064,0.017586,858.895,0.2225698,6.87E+15,2.39E+29
WDJ004828.93-732337.28,4.69E+18,0.828447,0.318691,0.127248,2.69E-02,0.125189,0.007405,0.124649,0.009125,1587.425,0.5058981,1.56E+16,2.41E+29
WDJ003030.38-735316.39,4.69E+18,0.937052,0.496159,0.127959,9.65E-03,0.157614,0.061666,0.156646,0.061152,1028.879,0.5104877,1.58E+16,2.42E+29
WDJ004546.03-724511.19,4.69E+18,0.752194,0.428527,0.128694,5.02E-02,0.12392,0.03346,0.124381,0.033209,1410.11,0.6042701,1.87E+16,2.43E+29
WDJ004305.45-732710.83,4.69E+18,0.932353,0.300342,0.130531,7.45E-02,0.125733,0.028127,0.124882,0.027776,1014.443,0.3046797,9.40E+15,2.47E+29
WDJ004431.96-732638.84,4.69E+18,0.931607,0.305836,0.13163,4.28E-02,0.141509,0.054319,0.141005,0.054515,1203.774,0.3681573,1.14E+16,2.49E+29
WDJ004800.78-730140.80,4.69E+18,0.842507,0.562277,0.132615,1.71E-02,0.148416,0.043387,0.129554,0.000612,763.9219,0.4295357,1.33E+16,2.51E+29
WDJ004724.59-731052.15,4.69E+18,0.822141,0.361951,0.133334,2.69E-02,0.121763,0.038613,0.11915,0.032325,1579.629,0.5717483,1.76E+16,2.52E+29
WDJ004939.23-731354.33,4.69E+18,0.788282,0.299123,0.135714,5.70E-02,0.134999,0.017745,0.13519,0.016345,1649.055,0.4932704,1.52E+16,2.57E+29
WDJ004923.58-733014.28,4.69E+18,0.775159,0.308798,0.136368,5.51E-02,0.127843,0.059332,0.128352,0.061717,1450.965,0.4480552,1.38E+16,2.58E+29
