System,Period (days),"V
B-V",Spectral type,Mass (Msun ),Radius (Rsun),Surface gravity (cgs),log Teff (K),log (L/Lsun),"[M/H]
(dex)",References and notes
V3903 Sgr,1.744,7.27,O7V(n),27.27,8.088,4.058,4.58,5.087,,Vaz et al. (1997A&A...327.1094V)
,,0.06,B0:V:,19.01,6.125,4.143,4.531,4.658,,
V467 Vel,2.753,10.9,O6_Vf,25.3,9.99,3.842,4.559,5.187,,Michalska et al. (2013MNRAS.429.1354M)
,,0,B1_V,8.25,3.49,4.268,4.402,3.649,,
CC Cas,3.366,7.08,O8.5_III(n,23.49,10.87,3.736,4.538,5.179,,Southworth & Bowman (2022MNRAS.513.3191S)
,,0.48,B0.5_V,9.95,6.84,3.766,4.452,4.474,,
EM Car,3.414,8.38,O7.5_V((f),22.89,9.35,3.856,4.531,5.02,,Andersen & Clausen (1989A&A...213..183A)
,,-0.31,O7.5_V((f),21.43,8.34,3.926,4.531,4.92,,
? Cir,3.902,5.09,O7_IV((f)),20,9.256,3.806,4.574,5.184,,Southworth & Bowman (2022MNRAS.513.3191S)
,,-0.06,B,11.41,5.326,4.043,4.519,4.339,,
DN Cas,2.311,9.93,O8.5_V,19.04,7.22,4,4.507,4.7,,Bak?? et al. (2016PASA...33...46B)
,,0.53,B0.2_V,13.73,5.79,4.27,4.447,4.27,,
V1292 Sco,4.24,7.57,O9.5_III,18.64,9.4,3.762,4.49,,,Rosu et al. (2022A&A...664A..98R)
,,0.14,B1-2_IV,7.7,3.69,4.19,4.336,,,
Y Cyg,2.996,7.32,O9.5_IV,17.72,5.785,4.161,4.521,,"0.00
± 0.00",Harmanec et al. (2014A&A...563A.120H)
,,-0.09,O9.5_IV,17.73,5.816,4.157,4.525,,,
V1034 Sco,2.441,8.47,O9.2_IV,17.01,7.513,3.917,4.508,4.738,"0.00
± 0.00","Pavlovski et al. (2023A&A...671A.139K)
Rosu et al. (2022A&A...664A..98R)"
,,-0.22,B1:_V,9.573,4.328,4.147,4.412,3.874,,
AH Cep,1.775,6.81,B0.5_V,16.14,6.51,4.019,4.487,4.53,"0.00
± 0.00","Pavlovski, Southworth & Tamajo (2018MNRAS.481.3129P)
Holmgren et al. (1990A&A...236..409H)"
,,0.3,B0.5_V,13.69,5.64,4.073,4.459,4.3,,
GL Car,2.422,9.7,B0.5_V,15.86,5.242,4.199,4.491,4.357,"0.00
± 0.00","Pavlovski et al. (2023A&A...671A.139K)
Gimenez & Clausen (1986A&A...161..275G)"
,,0.17,B1_V,14.95,4.968,4.22,4.483,4.278,,
V478 Cyg,2.881,8.63,O9.5_II,15.4,7.26,3.904,4.507,4.7,"0.00
± 0.00","Pavlovski, Southworth & Tamajo (2018MNRAS.481.3129P)
Popper & Hill (1991AJ....101..600P)"
,,-0.29,O9.5_III,15.02,7.15,3.907,4.502,4.67,,
V573 Car,1.469,9.52,O9.5V_(n),15.11,5.429,4.148,4.504,4.439,"0.00
± 0.00","Pavlovski et al. (2023A&A...671A.139K)
Freyhammer et al. (2001A&A...369..561F)"
,,0.11,B0.5V_(n),12.37,4.528,4.218,4.458,4.098,,
V578 Mon,2.408,8.54,B0_V,14.54,5.41,4.133,4.477,4.33,"0.00
± 0.00","Garcia et al. (2014AJ....148...39G)
Pavlovski, Southworth & Tamajo (2018MNRAS.481.3129P)"
,,0.17,B1:_V,10.29,4.29,4.185,4.411,3.86,,
V453 Cyg,3.89,8.29,B0.4_IV,13.96,8.665,3.708,4.459,4.666,"0.00
± 0.00","Southworth et al. (2020MNRAS.497L..19S)
Pavlovski, Southworth & Tamajo (2018MNRAS.481.3129P)"
,,0.18,B0.7_IV,11.1,5.25,4.044,4.442,4.163,,
OGLE-LMC-ECL-22270,5.414,14.03,none,13.21,8.48,3.702,4.417,4.478,,Taormina et al. (2020ApJ...890..137T)
,,-0.02,none,14.44,12.95,3.374,4.376,4.681,,
CW Cep,2.729,7.59,B0.5_V,13,5.45,4.079,4.452,,"0.00
± 0.00","Johnston et al. (2019A&A...628A..25J)
Clausen & Gimenez (1991A&A...241...98C)"
,,-0.28,B0.5_V,11.94,5.09,4.102,4.44,,,
V346 Cen,6.322,8.51,B0_IV,11.74,8.278,3.672,4.417,4.457,"0.00
± 0.00","Pavlovski et al. (2023A&A...671A.139K)
Mayer et al (2016A&A...591A.129M)"
,,-0.06,B1_V,8.359,4.123,4.13,4.352,3.594,,
V380 Cyg,12.426,5.68,B1.5_III,11.43,15.71,3.104,4.336,4.691,"0.03
± 0.10","Tkachenko et al. (2014MNRAS.438.3093T)
Tkachenko et al. (2012MNRAS.424L..21T)"
,,-0.06,B2_V,7,3.819,4.12,4.356,3.626,,
DW Car,1.328,9.68,B1_V,11.34,4.558,4.175,4.446,4.055,"0.00
± 0.00","Southworth & Clausen (2007A&A...461.1077S)
Clausen et al. (2007A&A...461.1065C)"
,,0.07,B1_V,10.63,4.297,4.198,4.423,3.915,,
QX Car,4.478,6.64,B2_V,9.267,4.289,4.14,4.377,3.72,,Andersen et al. (1983A&A...121..271A)
,,-0.23,B2_V,8.48,4.051,4.151,4.354,3.58,,
V1388 Ori,2.187,7.5,B2.5_IV,7.237,5.301,3.849,4.279,3.65,,"Southworth (2022Obs...142..161S)
Williams (2009AJ....137.3222W)"
,,-0.06,B3_V,5.028,3.144,4.144,4.23,3.018,,
V436 Per,25.936,5.52,B1.5_V,6.88,3.415,4.209,4.332,3.351,,Southworth & Bowman (2022MNRAS.513.3191S)
,,-0.18,B1.5_V,7.348,3.745,4.157,4.342,3.471,,
V539 Ara,3.169,5.71,B3_V,6.239,4.551,3.917,4.258,3.302,,"Southworth & Bowman (2022MNRAS.513.3191S)
Clausen (1996A&A...308..151C)"
,,-0.19,B4_V,5.313,3.575,4.057,4.233,2.993,,
CV Vel,6.889,6.69,B2.5_V,6.067,4.08,4,4.255,3.204,"0.00
± 0.00",Albrecht et al. (2014ApJ...785...83A)
,,-0.19,B2.5_V,5.952,3.94,4.021,4.25,3.137,,
DI Her,10.55,8.42,B5_V,5.185,2.68,4.297,4.23,2.73,,"Popper (1982ApJ...254..203P)
Albrecht et al. (2009Natur.461..373A)"
,,-0.18,B5_V,4.534,2.477,4.307,4.179,2.46,,
U Oph,1.678,5.91,B5_V,5.09,3.44,4.073,4.22,,"0.00
± 0.00","Johnston et al. (2019A&A...628A..25J)
Vaz, Andersen & Claret (2007A&A...469..285V)"
,,-0.18,B6_V,4.58,3.05,4.131,4.183,,,
EP Cru,11.077,8.69,B5_V,5.02,3.59,4.028,4.196,,,Albrecht et al. (2013ApJ...767...32A)
,,-0.04,B5_V,4.83,3.495,4.035,4.188,,,
V760 Sco,1.731,6.99,B4_V,4.98,3.013,4.177,4.228,2.82,,Andersen et al. (1985A&A...151..329A)
,,-0.17,B4_V,4.62,2.64,4.259,4.21,2.63,,
ASAS J180057-2333.8,269.496,10.34,K1_II,4.914,52.12,1.696,3.657,3.013,"-0.14
± 0.10",Suchomska et al. (2015MNRAS.451..651S)
,,1.6,K4_II,4.875,67.63,1.466,3.624,3.111,,
MU Cas,9.653,10.8,B5_V,4.57,3.67,3.969,4.179,2.8,,Lacy et al. (2004AJ....128.1840L)
,,0.3,B5_V,4.66,4.19,3.861,4.169,2.88,,
OGLE SMC108.1 14904,185.218,15.21,F9_II,4.416,46.95,1.74,3.754,3.313,"-0.79
± 0.15","Graczyk et al. (2014ApJ...780...59G)
Member of the SMC"
,,0.86,G7_II,4.429,64.05,1.472,3.695,3.346,,
OGLE-LMC-ECL-06575,189.994,15.81,G6_II-III,4.167,43.93,1.773,3.692,3.009,"-0.46
± 0.10","Graczyk et al. (2018ApJ...860....1G)
Pietrzynski et al. (2013Natur.495...76P)"
,,1.2,K0_III,3.989,46.75,1.699,3.667,2.963,,
OGLE-LMC-CEP-00227,309.669,15.2,F7_Ib-II,4.15,34.87,1.97,3.778,3.15,,"Pilecki et al. (2018ApJ...862...43P)
Pilecki et al. (2013MNRAS.436..953P)"
,,0.6,G4_II,4.06,44.79,1.743,3.708,3.09,,
GG Lup,1.85,5.59,B7_V,4.116,2.379,4.301,4.169,2.38,,Andersen et al. (1993A&A...277..439A)
,,-0.16,B9_V,2.509,1.725,4.364,4.041,1.59,,
OGLE-LMC-ECL-13360,262.439,15.82,G1_II-III,3.95,30.46,2.067,3.74,2.882,"-0.30
± 0.10","Graczyk et al. (2018ApJ...860....1G)
member of the LMC"
,,1.07,G4_II-III,4.06,39.46,1.854,3.706,2.972,,
? Phe,1.67,3.95,B6_V,3.908,2.835,4.125,4.158,2.49,,"Southworth (2020Obs...140..247S)
Andersen (1983A&A...118..255A)"
,,-0.15,B8_V,2.536,1.885,4.292,4.079,1.82,,
OGLE-SMC-ECL-3678,187.843,15.56,F2_II,3.83,31.2,2.03,3.823,3.234,"-0.78
± 0.08","Graczyk et al. (2020ApJ...904...13G)
Member of the SMC"
,,0.67,G6_II,3.73,42.6,1.75,3.697,3.003,,
OGLE-LMC-CEP-01812,551.776,16.69,F7_II,3.76,17.85,2.509,3.787,2.61,,"Pilecki et al. (2018ApJ...862...43P)
member of the LMC, primary is a Cepheid variable"
,,0.64,G4_III,2.62,11.83,2.709,3.713,1.95,,
V413 Ser,2.26,8,B8_V,3.68,3.21,3.9914,4.045,2.149,,Çakirli et al. (2008MNRAS.389..205C)
,,0.58,B9_V,3.36,2.93,4.031,4.015,1.949,,
?2 Hya,2.268,5.65,B8_V,3.613,4.384,3.712,4.066,2.5,,Clausen & Nordström (1978A&A....67...15C)
,,-0.09,B8_V,2.638,2.165,4.188,4.041,1.79,,
OGLE-LMC-CEP-04506,1550.354,15.5,F7_Ib,3.61,28.5,2.087,3.787,3.01,,"Pilecki et al. (2018ApJ...862...43P)
Gieren et al. (2015ApJ...815...28G)"
,,0.5,F7_Ib-II,3.52,26.4,2.142,3.783,2.93,,
OGLE-LMC-SC9-230659,772.638,16.63,G6_III,3.598,32.83,1.962,3.699,2.783,"-0.24
± 0.11","Graczyk et al. (2018ApJ...860....1G)
member of the LMC"
,,1.09,G6_III,3.429,23.4,2.235,3.702,2.5,,
OGLE-LMC-ECL26122,771.781,16.63,none,3.593,32.71,1.964,3.698,,"-0.15
± +0.10","Pietrzynski et al. (2013Natur.495...76P)
Member of the LMC"
,,0.82,none,3.411,22.99,2.248,3.699,,,
OGLE-LMC-ECL-01866,251.247,16.13,G3_III,3.56,26.79,2.134,3.724,2.708,"-0.49
± 0.17","Graczyk et al. (2018ApJ...860....1G)
Pietrzynski et al. (2013Natur.495...76P)"
,,1.17,K1.5_III,3.55,47.11,1.642,3.653,2.912,,
IQ Per,1.744,7.73,B8_V,3.521,2.446,4.208,4.09,2.09,,Lacy & Frueh (1985ApJ...295..569L)
,,-0.11,A6_V,1.737,1.503,4.323,3.885,0.85,,
OGLE SMC113.3 4007,371.768,15.81,G8_III,3.504,45.8,1.66,3.681,3,"-0.50
± 0.00","Graczyk et al. (2012ApJ...750..144G)
[Fe/H] comes from its membership of the SMC"
,,0.88,G8_III,3.561,48.4,1.62,3.682,3.053,,
OGLE-LMC-ECL-10567,117.975,16.43,G6_III,3.333,24.6,2.179,3.705,2.555,"-0.70
± 0.10","Graczyk et al. (2018ApJ...860....1G)
Pietrzynski et al. (2013Natur.495...76P)"
,,1.09,G9_III,3.184,36.64,1.813,3.673,2.777,,
OGLE-LMC-ECL-09114,214.366,16.71,G4_III,3.304,26.33,2.116,3.719,2.669,"-0.38
± 0.12","Graczyk et al. (2018ApJ...860....1G)
Pietrzynski et al. (2013Natur.495...76P)"
,,1.03,G2_III,3.205,18.79,2.396,3.734,2.439,,
V906 Sco,2.786,5.96,B9_V,3.253,3.515,3.858,4.029,2.162,,Alencar et al. (1997A&A...326..709A)
,,-0.01,B9_V,3.378,4.521,3.656,4.017,2.33,,
